id,latitude,longitude,day_of_year,day_of_week,hour,month,pollution_value
0,51.481253891704746,-0.2380645568327763,365,3,18,3,19.421043527864928
1,39.45770058686319,121.22719562396551,205,2,3,10,34.88377438233703
2,51.39009142258565,0.657211880891101,282,3,0,6,11.621253251112995
3,35.19892928320393,-120.79166935363614,243,6,10,8,12.867448157978385
4,29.827428871434375,120.6763115247215,81,0,9,10,56.866596805494126
5,43.76474589762292,-1.0460775838117566,208,5,8,6,17.072649505589716
6,29.875091750914347,103.0039635996227,353,2,21,8,16.383050664236222
7,26.314342849815876,120.10721392205514,234,0,11,1,16.428500664933388
8,46.15310137435526,-116.89523448172777,266,2,21,1,7.627397173721574
9,-23.550439678591875,27.43159482594138,94,5,2,7,30.354988266912493
10,35.10623417715068,137.15388988009886,250,2,10,12,8.783183450285545
11,50.26412522139166,7.465875761527679,233,4,6,12,25.925663150532486
12,46.77358126709582,124.91299067614486,308,5,23,3,21.96488664776409
13,-27.818858191035925,153.25311947805912,12,1,23,11,7.698670715221811
14,35.54254296368326,139.57788654842227,20,6,18,9,7.793644052770326
15,33.91736518718084,118.48650008844884,96,1,14,10,31.178617642827096
16,36.615620774048175,109.38519693005453,118,2,6,10,8.431126694400396
17,47.34859741890391,-120.47368240897413,240,6,2,8,7.006313025828731
18,39.55236682354081,-87.29309459133425,137,1,5,3,25.393351096983867
19,25.869089021350064,29.43863293578686,169,1,13,8,19.602709109296725
20,39.92654010127066,-75.20437409369677,272,4,20,7,20.96108278551898
21,51.595206289509285,-0.1425996623714526,105,6,13,11,14.23578080137403
22,39.32156778131736,120.91610348718056,39,6,1,1,36.639404843196765
23,51.596398537948836,0.4639216925219404,65,2,13,5,8.711537724252153
24,35.27256901350215,-120.72603151489659,5,5,18,10,15.91561732930639
25,29.869333143544967,120.4179199405203,29,0,20,12,55.336506462251485
26,43.624496781842936,-1.05396582185737,210,0,1,6,14.36845167002433
27,29.942383669092536,103.07680608811258,170,0,8,1,19.007981730735338
28,26.137568082148025,119.91349029144014,216,3,21,1,18.74304102949495
29,46.42006521029598,-116.95258297512287,37,3,13,11,6.754640795790517
30,-23.774818044629097,27.490681558239114,331,1,13,5,28.4900036923335
31,34.938736080001014,137.10107299215474,236,5,0,12,10.250283960832377
32,50.519668093892776,7.403115152233786,34,1,2,2,26.515233924016506
33,46.65518306521681,124.92294465101068,172,5,1,3,17.785493959524924
34,-27.747971159502267,153.29854677625593,272,3,2,1,5.264459721959508
35,35.76154307471279,139.81521137686474,351,0,13,5,7.2110039823880925
36,33.87876332904113,118.33505127468521,239,0,20,3,31.180889654076957
37,36.476719315505754,109.46229988093901,164,4,13,11,9.610325947753786
38,47.419408426980915,-120.49685908181104,113,4,7,8,4.791803753851697
39,39.43714456661623,-87.37264081251732,118,4,17,4,21.692259234515518
40,25.766633776973286,29.553769277983942,354,3,20,12,13.489479432932129
41,40.07950177276461,-75.09238541896737,80,0,12,1,18.517837110223002
42,51.47791674751874,-0.2517209703386045,196,0,8,7,15.526291678552921
43,39.51921796708051,121.19020180854265,193,0,15,5,36.71474477549184
44,51.44492501207727,0.608122958726265,158,6,7,12,9.835306741500267
45,35.05947243939875,-120.48872156042349,330,3,20,8,15.419283723114194
46,29.860462859372618,120.56872267184005,80,2,17,11,52.019637851144644
47,43.73973363481365,-1.1973046829837002,99,0,22,12,9.560763630220858
48,30.014094543349405,102.95802872108385,156,2,2,8,18.540916487554266
49,26.11357331061611,120.08258374763541,33,6,2,11,15.173664092831256
50,46.39542301653208,-117.00826011607086,102,2,11,11,10.364525558060546
51,-23.78778142470383,27.62917572526561,93,5,21,9,28.752904823801384
52,35.056014168864394,137.1633183712246,234,1,18,7,12.420694079791142
53,50.577703763422946,7.446594143736642,254,3,12,5,25.592860687771534
54,46.614088445046235,124.97102580106652,174,1,16,8,19.64927144791722
55,-27.909152093690686,153.27780014030262,60,1,12,4,6.672320937202753
56,35.661177981219,139.60930926520564,248,1,18,3,5.306399564518832
57,33.97367723611001,118.26180948030762,6,1,4,3,26.30521889621611
58,36.794155861455735,109.39450756505738,153,1,0,8,16.20507393537959
59,47.68491378364517,-120.67359100708012,351,5,8,12,5.019661575923816
60,39.56095417192014,-87.50778112454434,56,2,6,8,24.02872390881813
61,25.740371576706053,29.421707189880404,327,0,22,5,18.403447930900178
62,39.922579464351315,-75.21230986918525,318,3,16,4,18.987864672357524
63,51.35386350410502,-0.15625974127342918,254,6,21,7,13.39758224532929
64,39.4425598067573,121.26367447672993,259,2,14,8,39.45802360731029
65,51.35719115734603,0.5628252674325639,324,3,20,10,12.519545387321598
66,35.354876931369525,-120.7396544621034,224,4,0,3,15.00693891783919
67,29.95685235519226,120.77064276791673,130,5,1,1,57.7624173429744
68,43.67171685363598,-1.0229914287617095,2,3,11,11,15.174785594192269
69,29.777669352244438,103.06721387454235,92,0,2,5,21.446024062646437
70,26.12225319919388,120.06252216011097,5,0,6,11,15.007834442690173
71,46.33023867035327,-116.93539387064075,298,4,10,10,6.926237984682054
72,-23.61617321312691,27.61506502025595,214,1,23,10,32.00973093379926
73,35.12166772429413,137.19813352839824,5,5,22,11,9.464211962113524
74,50.39146881516094,7.403918759570734,62,6,10,9,27.34361548976314
75,46.81736077763239,124.72037268238563,258,4,16,8,16.526997720024493
76,-27.781182773990913,153.13063482787453,270,3,23,12,9.733783991486854
77,35.453383315157616,139.71858195024222,95,5,19,4,12.627565183773207
78,33.81200975876845,118.44936050151325,2,3,19,7,31.569242113219747
79,36.69834071696702,109.314276044792,361,1,18,4,9.705782102587634
80,47.47162506386974,-120.50895240702737,122,4,17,6,8.518620278875922
81,39.57095477916731,-87.33772222797785,12,0,23,12,27.607244473377932
82,25.89438165172674,29.463622092315155,11,1,11,4,15.905303044173332
83,39.84163024365135,-75.21401956716424,270,2,6,3,21.709437286646562
84,51.35712505866863,-0.237520179856844,344,3,22,1,11.959881492705875
85,39.40371487093472,121.29058061928144,208,1,18,6,32.18296240713429
86,51.349472406946475,0.614467097696182,232,6,15,5,11.199323008375451
87,35.31197064887132,-120.68937768505477,310,3,3,2,15.474777624569475
88,30.04747134594143,120.59914936339501,61,3,16,11,56.2768451073305
89,43.59725329095101,-0.9782851334483635,119,0,7,6,12.819202912154998
90,30.061870845951237,102.91196541567079,323,6,3,5,15.493513696979331
91,26.244987163936127,119.99900700533475,329,0,1,3,14.325017412506412
92,46.198575383884425,-117.06953784468092,155,3,9,1,10.073605165454302
93,-23.759970012350344,27.42683152000659,197,1,10,12,31.934174048769542
94,35.02317745293086,137.325460503834,350,2,23,2,9.711990213092413
95,50.31169906994736,7.520283283908938,276,0,18,2,25.031959693765444
96,46.66291170804001,124.82990659900554,194,0,18,4,20.053576421084074
97,-27.75785549182925,153.2630227556324,333,5,17,10,8.13368745391172
98,35.81662521184375,139.81864062635205,268,3,8,1,8.458787572599618
99,34.03922140335723,118.27193628404058,202,3,4,8,34.799112674742744
100,36.66597275906231,109.42979794762884,56,0,17,9,5.656009613877554
101,47.486912248864016,-120.55165520913123,37,3,0,8,8.200230720610584
102,39.481189329975685,-87.38881382513806,205,2,17,2,20.027468754014713
103,25.580129236968638,29.454056676673872,231,6,12,12,18.06886617341155
104,40.02945394832364,-75.03748630657797,272,4,12,5,15.994537208701535
105,51.63563488148596,-0.224043428560059,257,2,15,2,18.402958070556412
106,39.35656061252043,121.125208004244,63,3,5,6,34.674219040099814
107,51.28690697136498,0.6072128777235902,235,2,4,1,4.477785853259493
108,35.185288991451415,-120.58543258002193,131,3,7,7,13.390745729298839
109,30.102369619010766,120.45726419179624,1,2,16,6,55.94549810411088
110,43.64434012806993,-1.0867516129741788,252,6,20,1,13.273585573951257
111,29.990564215326376,103.06457129891015,170,1,17,7,14.655889151105953
112,26.130289852763134,120.08537549054556,314,2,5,3,19.243113587830962
113,46.33897976657468,-117.11356868444925,15,1,2,5,5.217696684501414
114,-23.597519793629903,27.549738764209764,152,4,2,8,26.910601786427844
115,35.060681720327906,137.0054954103329,9,6,10,4,11.528823911737565
116,50.311068441878746,7.456238162812893,270,3,1,6,26.315599480361332
117,46.72992354674664,125.02734088841059,168,3,15,6,19.889011583357533
118,-27.910855232062264,153.26432820859043,96,5,21,11,8.425087530806694
119,35.74938148195513,139.49963288622223,167,4,5,6,4.954225728238308
120,33.768120203130195,118.27472459844635,71,6,0,6,29.475676840931953
121,36.89443508979484,109.49169083754313,360,3,17,8,9.406895781444
122,47.40434416218151,-120.5198305696956,223,0,13,11,9.732582724638046
123,39.41559260570594,-87.41177758100989,240,4,3,12,24.774858356106485
124,25.872818341675767,29.698486657342997,157,0,8,4,18.320867876423474
125,39.91850228694441,-75.18004895338876,127,4,18,7,15.655973254506117
126,51.46424901755308,0.03524972589445058,72,3,4,7,10.548373435984722
127,39.51700510821658,121.14440022186535,214,0,8,12,32.76612774112925
128,51.48702706964107,0.5411853562182033,329,1,3,3,7.447721125988389
129,35.20857391878152,-120.67009358350701,154,2,16,12,15.332556206769508
130,29.93997598140197,120.36805316532846,322,5,22,10,56.64708411063296
131,43.731856819474146,-1.1509452855564402,67,2,21,7,15.683661650513796
132,29.998807542364816,103.10181750767133,146,0,22,9,17.30044747996059
133,26.05979406761596,119.92128205249745,258,3,10,6,17.72083453340651
134,46.468799457202145,-117.05553547183555,101,4,15,7,7.12439806205582
135,-23.59527388509483,27.39319669436253,278,2,18,10,29.22417831937753
136,35.02328935442554,137.16265723559368,292,4,6,2,8.946753790679175
137,50.53590883129015,7.449530504208586,228,3,8,8,25.390291848836448
138,46.64317955380996,124.89108150641003,240,1,15,9,16.84284976970442
139,-27.901746278575473,153.19000903998662,3,4,20,6,6.26148408410362
140,35.722515472664966,139.4623128887186,181,3,22,3,6.69112867183134
141,33.71857928775227,118.40654089673606,264,1,4,2,29.06551455949862
142,36.613896239577684,109.41662636725165,142,5,15,5,10.323746921692035
143,47.41679267038238,-120.50097710221277,291,4,1,1,6.771851018011813
144,39.352581981821615,-87.43329946630436,90,1,9,12,24.439186126125794
145,25.81247106615061,29.600097525082692,294,0,1,8,17.72606021110643
146,40.08826556862834,-75.26625775112241,117,3,4,10,15.340797708335234
147,51.50751457967231,-0.31009285672785747,207,1,20,3,16.262293134490772
148,39.5833787775641,121.08942845421483,3,5,18,9,37.476775222139864
149,51.35606728567072,0.6786386583201791,34,4,22,8,12.184633940100206
150,35.268786238071215,-120.7178681589742,212,0,1,6,19.840028318956033
151,29.844471919151086,120.7669609654725,365,1,12,5,54.86137948482033
152,43.71574234335153,-1.0145529100645383,69,5,8,4,11.979505784228985
153,30.079928643009435,102.89994548719174,17,3,9,4,18.875366683604877
154,26.22463310052506,119.98493011289848,240,3,6,5,18.016949514428795
155,46.279246848045055,-117.23187285975408,217,5,20,2,9.57917580067079
156,-23.995217848947288,27.51741297080288,194,2,8,1,28.814973692046465
157,35.132818613584696,137.00312852170669,286,2,2,12,10.372930405925949
158,50.34347779031541,7.568852965460809,288,4,11,1,22.391047579236133
159,46.58792931660617,124.88049578067208,59,6,18,6,12.942881712064338
160,-27.697485282171176,153.09958975740398,66,6,8,1,11.398475278853123
161,35.54690592380478,139.75600623341978,118,4,2,12,9.300335430153842
162,33.87129669609916,118.42433898041298,78,6,3,8,25.903829970552135
163,36.59845982688821,109.55568487784272,29,3,5,11,9.8595773362447
164,47.505296861156296,-120.48404173986052,289,5,18,6,8.621491046663035
165,39.5402094705586,-87.34828931916768,252,0,21,10,20.548585408783694
166,25.866597177670066,29.49324432963162,312,5,13,1,12.327792291889736
167,40.00568670010154,-75.14094615125175,84,2,16,12,17.292792413570147
168,51.666312712331916,-0.32978630845001605,348,4,15,6,16.706369416862003
169,39.46367199003669,121.19090213515284,1,6,23,1,33.89084459609433
170,51.25345037599294,0.6167155567464029,252,4,4,9,12.192110802968394
171,35.174149591827074,-120.57728790846498,29,6,12,7,13.56884382450297
172,29.869415047249195,120.62302721505813,282,3,22,6,52.17600969665362
173,43.834524992204564,-1.1175473444054296,309,2,12,3,13.358287205592553
174,29.914018953547956,103.0192192582067,15,3,15,3,16.5719543582569
175,26.256945799658986,119.86007031003298,220,2,6,4,13.600876458069447
176,46.5323615635315,-117.17403524830105,276,2,17,6,9.473455146028693
177,-23.626473263206037,27.60412270931842,47,4,8,8,26.62076186964045
178,35.215169702288875,137.10346666266477,175,5,14,6,13.649892469154365
179,50.29495556366048,7.495129087055636,45,0,14,6,26.565116299873814
180,46.78800692635492,125.0927341254742,157,1,13,2,13.91078489569506
181,-27.68402350966275,153.27400244778462,144,3,10,10,5.717501858364435
182,35.538457559256116,139.7616571540549,275,3,6,12,9.862954060859046
183,33.88683876015472,118.4958473073541,48,4,5,4,27.256403027941335
184,36.669089192008265,109.36928751200644,123,3,2,3,10.171276585893281
185,47.540681005071384,-120.64874901716543,84,0,20,9,7.065928598410972
